Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Total Households,Total Owner Occupied,% Owner Occupied
77538,906.0,43.6,62188.0,30285.0,16.777041942604857,906.0,849.0,93.70860927152319
77539,42607.0,35.5,71216.0,30591.0,13.915553782242355,41616.0,30388.0,73.01999231064976
77541,18525.0,32.7,48390.0,22556.0,20.23211875843455,18412.0,10274.0,55.800564849011515
77545,25036.0,30.7,70326.0,22479.0,9.406454705224476,25016.0,20728.0,82.85897025903421
77546,52261.0,39.6,98621.0,44508.0,5.055395036451656,52038.0,42411.0,81.50005765017872
77547,10077.0,28.5,41037.0,14935.0,27.86543614170884,10077.0,6360.0,63.11402203036618
77550,22070.0,39.9,35305.0,25136.0,30.35795197100136,21474.0,9691.0,45.12899320108038
77551,21203.0,36.4,47727.0,27674.0,15.493090600386738,19206.0,7756.0,40.38321357908987
77554,8249.0,49.2,66833.0,46421.0,5.879500545520669,6979.0,4886.0,70.01003009027082
77560,624.0,51.0,97321.0,61799.0,17.147435897435898,624.0,589.0,94.39102564102564
77561,67.0,71.3,-666666666.0,39601.0,10.447761194029852,67.0,60.0,89.55223880597015
77562,10665.0,36.9,62077.0,26589.0,13.567744960150023,10640.0,7638.0,71.78571428571429
77563,10067.0,39.3,55652.0,29545.0,21.039038442435682,10064.0,6836.0,67.92527821939586
77564,1986.0,39.7,59531.0,27935.0,2.618328298086606,1961.0,1654.0,84.34472208057113
77565,7233.0,46.3,68062.0,47042.0,3.4563804783630583,7233.0,4118.0,56.933499239596294
77566,29441.0,36.7,78276.0,39247.0,8.321728202167046,29362.0,20555.0,70.00544922008038
77568,15640.0,40.2,44381.0,23162.0,16.924552429667518,15489.0,10706.0,69.1200206598231
77571,37374.0,37.7,75232.0,31684.0,9.667148284903943,37235.0,27898.0,74.924130522358
77573,85108.0,34.9,103922.0,41592.0,6.871269445880528,84630.0,66045.0,78.03970223325062
77575,17005.0,33.7,55156.0,26796.0,13.01970008820935,16509.0,12603.0,76.34017808468109
77577,1566.0,40.4,70815.0,31343.0,14.17624521072797,1521.0,1433.0,94.21433267587113
